Ubigeo;Distrito;Provincia;Departamento;Poblacion;Superficie;Y;X
020103;Cochabamba;Huaraz;Ancash;1983;135.65;-9.4939;-77.8619
020104;Colcabamba;Huaraz;Ancash;826;50.65;-9.5956;-77.8108
020105;Huanchay;Huaraz;Ancash;2235;209.34;-9.7236;-77.8197
020106;Jangas;Huaraz;Ancash;5106;59.84;-9.4014;-77.5767
020107;La Libertad;Huaraz;Ancash;1138;164.26;-9.6333;-77.7442
020108;Olleros;Huaraz;Ancash;2148;222.91;-9.6664;-77.4661
020109;Pampas;Huaraz;Ancash;1165;357.81;-9.6556;-77.8272
020110;Pariacoto;Huaraz;Ancash;4794;162.5;-9.5622;-77.8931
020111;Pira;Huaraz;Ancash;3755;243.73;-9.5814;-77.7075
020112;Tarica;Huaraz;Ancash;5936;110.28;-9.3919;-77.5769
020201;Aija;Aija;Ancash;1841;159.74;-9.7819;-77.6114
020203;Coris;Aija;Ancash;2270;267.15;-9.8211;-77.7225
020205;Huacllan;Aija;Ancash;628;37.91;-9.7975;-77.6747
020206;La Merced;Aija;Ancash;2190;153.08;-9.7361;-77.6189
020208;Succha;Aija;Ancash;828;78.84;-9.8242;-77.6497
020301;Chiquian;Bolognesi;Ancash;3587;184.16;-10.1517;-77.1586
020302;Abelardo Pardo Lezameta;Bolognesi;Ancash;1263;11.31;-10.2992;-77.1508
020304;Aquia;Bolognesi;Ancash;2465;434.6;-10.0742;-77.1464
020305;Cajacay;Bolognesi;Ancash;1603;193.06;-10.1564;-77.4419
020310;Huayllacayan;Bolognesi;Ancash;1076;127.99;-10.2436;-77.4342
020311;Huasta;Bolognesi;Ancash;2610;387.91;-10.1225;-77.1458
020313;Mangas;Bolognesi;Ancash;566;115.84;-10.3694;-77.1039
020315;Pacllon;Bolognesi;Ancash;1771;211.98;-10.2333;-77.0722
020317;San Miguel de Corpanqui;Bolognesi;Ancash;1298;43.78;-10.285;-77.2
020320;Ticllos;Bolognesi;Ancash;1291;89.41;-10.2522;-77.1911
020321;Antonio Raymondi;Bolognesi;Ancash;1065;118.7;-10.1575;-77.4703
020322;Canis;Bolognesi;Ancash;1308;19.45;-10.3381;-77.1711
020323;Colquioc;Bolognesi;Ancash;4165;274.61;-10.3117;-77.6156
020324;La Primavera;Bolognesi;Ancash;951;68.61;-10.3344;-77.1253
020325;Huallanca;Bolognesi;Ancash;8325;873.39;-9.8994;-76.9444
020401;Carhuaz;Carhuaz;Ancash;15712;194.62;-9.2806;-77.6469
020402;Acopampa;Carhuaz;Ancash;2685;14.17;-9.2942;-77.6225
020403;Amashca;Carhuaz;Ancash;1571;11.99;-9.2392;-77.6464
020404;Anta;Carhuaz;Ancash;2510;40.77;-9.3569;-77.5978
020405;Ataquero;Carhuaz;Ancash;1353;47.22;-9.2625;-77.6914
020406;Marcara;Carhuaz;Ancash;9452;157.49;-9.3211;-77.6033
020407;Pariahuanca;Carhuaz;Ancash;1630;11.74;-9.3642;-77.5828
020408;San Miguel de Aco;Carhuaz;Ancash;2794;133.89;-9.3678;-77.5644
020409;Shilla;Carhuaz;Ancash;3318;130.19;-9.2306;-77.6256
020410;Tinco;Carhuaz;Ancash;3301;15.44;-9.2711;-77.6819
020411;Yungar;Carhuaz;Ancash;3462;46.43;-9.3778;-77.5931
020501;Casma;Casma;Ancash;33648;1204.85;-9.475;-78.3036
020502;Buena Vista Alta;Casma;Ancash;4250;476.62;-9.4289;-78.2047
020503;Comandante Noel;Casma;Ancash;2044;222.36;-9.4622;-78.3831
020505;Yautan;Casma;Ancash;8531;357.2;-9.5097;-77.9956
020601;Corongo;Corongo;Ancash;1420;143.13;-8.5683;-77.8967
020602;Aco;Corongo;Ancash;442;56.54;-8.5228;-77.8769
020603;Bambas;Corongo;Ancash;546;151.13;-8.6022;-77.9925
020604;Cusca;Corongo;Ancash;2985;411.55;-8.5106;-77.8631
020605;La Pampa;Corongo;Ancash;1004;93.94;-8.6619;-77.9011
020606;Yanac;Corongo;Ancash;704;45.85;-8.6178;-77.8636
020607;Yupan;Corongo;Ancash;1041;85.87;-8.615;-77.9661
020701;Caraz;Huaylas;Ancash;26740;246.52;-9.0472;-77.8108
020702;Huallanca;Huaylas;Ancash;686;178.8;-8.8194;-77.8653
020703;Huata;Huaylas;Ancash;1638;70.69;-9.0167;-77.8625
020704;Huaylas;Huaylas;Ancash;1421;56.89;-8.8694;-77.8925
020705;Mato;Huaylas;Ancash;2003;107.12;-8.9617;-77.8456
020706;Pamparomas;Huaylas;Ancash;9268;496.35;-9.0731;-77.9819
020707;Pueblo Libre;Huaylas;Ancash;7246;130.99;-9.1117;-77.8025
020708;Santa Cruz;Huaylas;Ancash;5236;357.7;-8.9486;-77.815
020709;Yuracmarca;Huaylas;Ancash;1760;565.7;-8.7364;-77.9036
020710;Santo Toribio;Huaylas;Ancash;1056;82.02;-8.8644;-77.915
020801;Huari;Huari;Ancash;10423;398.91;-9.3478;-77.1725
020802;Cajay;Huari;Ancash;2552;159.35;-9.3253;-77.1569
020803;Chavin de Huantar;Huari;Ancash;9251;434.13;-9.5869;-77.1772
020804;Huacachi;Huari;Ancash;1826;86.7;-9.3164;-76.9356
020805;Huachis;Huari;Ancash;3466;153.89;-9.4097;-77.1003
020806;Huacchis;Huari;Ancash;2079;72.16;-9.2;-76.7875
020807;Huantar;Huari;Ancash;3058;156.15;-9.4517;-77.175
020808;Masin;Huari;Ancash;1652;75.33;-9.3653;-77.0958
020809;Paucas;Huari;Ancash;1827;135.31;-9.1522;-76.8983
020810;Ponto;Huari;Ancash;3333;118.29;-9.325;-77.0047
020811;Rahuapampa;Huari;Ancash;814;9.02;-9.3592;-77.0772
020812;Rapayan;Huari;Ancash;1800;143.34;-9.2053;-76.7611
020813;San Marcos;Huari;Ancash;15094;556.75;-9.525;-77.1575
020814;San Pedro de Chana;Huari;Ancash;2850;138.65;-9.4025;-77.0117
020815;Uco;Huari;Ancash;1668;53.61;-9.1886;-76.9269
020816;Anra;Huari;Ancash;1581;80.31;-9.2347;-76.9253
020901;Piscobamba;Mariscal Luzuriaga;Ancash;3799;45.93;-8.8611;-77.3567
020902;Casca;Mariscal Luzuriaga;Ancash;4534;77.38;-8.8553;-77.3919
020903;Lucma;Mariscal Luzuriaga;Ancash;3262;77.37;-8.9194;-77.4097
020904;Fidel Olivas Escudero;Mariscal Luzuriaga;Ancash;2242;204.82;-8.8067;-77.2806
020905;Llama;Mariscal Luzuriaga;Ancash;1223;48.13;-8.9142;-77.2994
020906;Llumpa;Mariscal Luzuriaga;Ancash;6435;143.27;-8.9467;-77.3669
020907;Musga;Mariscal Luzuriaga;Ancash;1014;39.72;-8.9061;-77.3372
020908;Eleazar Guzman Barron;Mariscal Luzuriaga;Ancash;1381;93.96;-8.8997;-77.2419
021001;Cabana;Pallasca;Ancash;2715;150.29;-8.3928;-78.0089
021002;Bolognesi;Pallasca;Ancash;1293;86.88;-8.3517;-78.0506
021003;Conchucos;Pallasca;Ancash;8458;585.24;-8.2658;-77.8483
021004;Huacaschuque;Pallasca;Ancash;563;63.59;-8.3061;-78.0031
021005;Huandoval;Pallasca;Ancash;1123;116.0;-8.3272;-77.9728
021006;Lacabamba;Pallasca;Ancash;559;64.68;-8.2583;-77.8958
021007;Llapo;Pallasca;Ancash;732;28.69;-8.5111;-78.0397
021008;Pallasca;Pallasca;Ancash;2417;59.77;-8.2494;-77.9972
021009;Pampas;Pallasca;Ancash;8780;438.18;-8.1925;-77.8931
021010;Santa Rosa;Pallasca;Ancash;1038;298.77;-8.5239;-78.065
021011;Tauca;Pallasca;Ancash;3170;209.12;-8.4717;-78.0347
021101;Pomabamba;Pomabamba;Ancash;16631;347.92;-8.8147;-77.4592
021102;Huayllan;Pomabamba;Ancash;3668;88.97;-8.8547;-77.4336
021103;Parobamba;Pomabamba;Ancash;7016;331.1;-8.6886;-77.4294
021104;Quinuabamba;Pomabamba;Ancash;2390;146.06;-8.6944;-77.3978
021201;Recuay;Recuay;Ancash;4372;142.96;-9.7214;-77.455
021202;Cotaparaco;Recuay;Ancash;648;172.85;-9.9931;-77.5878
021203;Huayllapampa;Recuay;Ancash;1339;105.29;-10.055;-77.535
021204;Marca;Recuay;Ancash;969;184.84;-10.0878;-77.4747
021205;Pampas Chico;Recuay;Ancash;2109;100.51;-10.1147;-77.3981
021206;Pararin;Recuay;Ancash;1403;254.85;-10.0497;-77.6533
021207;Tapacocha;Recuay;Ancash;452;81.23;-10.0097;-77.5681
021208;Ticapampa;Recuay;Ancash;2232;142.29;-9.7578;-77.4444
021209;Llacllin;Recuay;Ancash;1872;101.1;-10.07;-77.6222
021210;Catac;Recuay;Ancash;4038;1018.27;-9.8017;-77.4303
021301;Chimbote;Santa;Ancash;216037;1461.44;-9.0758;-78.5842
021302;Caceres del Peru;Santa;Ancash;4865;549.78;-9.0131;-78.1403
021303;Macate;Santa;Ancash;3325;584.65;-8.7603;-78.0603
021304;Moro;Santa;Ancash;7545;359.35;-9.1378;-78.1844
021305;Nepeña;Santa;Ancash;15949;458.24;-9.1731;-78.3597
021306;Samanco;Santa;Ancash;4676;153.98;-8.9878;-78.6161
021307;Santa;Santa;Ancash;21041;42.23;-9.1156;-78.5314
021308;Coishco;Santa;Ancash;16057;9.21;-9.0239;-78.6181
021309;Nuevo Chimbote;Santa;Ancash;157211;389.73;-9.2606;-78.4994
021401;Sihuas;Sihuas;Ancash;5750;43.81;-8.5556;-77.6344
021402;Alfonso Ugarte;Sihuas;Ancash;762;80.71;-8.455;-77.4292
021403;Chingalpo;Sihuas;Ancash;1034;173.2;-8.3394;-77.5992
021404;Huayllabamba;Sihuas;Ancash;3982;287.58;-8.535;-77.5689
021405;Quiches;Sihuas;Ancash;2958;146.98;-8.3944;-77.4933
021406;Sicsibamba;Sihuas;Ancash;1808;86.0;-8.6236;-77.5367
021407;Acobamba;Sihuas;Ancash;2234;153.04;-8.3264;-77.585
021408;Cashapampa;Sihuas;Ancash;2833;66.96;-8.5617;-77.6558
021409;Ragash;Sihuas;Ancash;2613;208.45;-8.5308;-77.6692
021410;San Juan;Sihuas;Ancash;6568;209.24;-8.6461;-77.5808
021501;Yungay;Yungay;Ancash;22323;276.68;-9.1375;-77.7475
021502;Cascapara;Yungay;Ancash;2332;138.32;-9.2261;-77.7197
021503;Mancos;Yungay;Ancash;6954;64.05;-9.1911;-77.7164
021504;Matacoto;Yungay;Ancash;1666;43.65;-9.1775;-77.7494
021505;Quillo;Yungay;Ancash;14134;373.83;-9.3297;-78.0431
021506;Ranrahirca;Yungay;Ancash;2690;22.89;-9.1725;-77.725
021507;Shupluy;Yungay;Ancash;2412;162.21;-9.2183;-77.6975
021508;Yanama;Yungay;Ancash;6986;279.85;-9.0222;-77.4744
021601;Llamellin;Antonio Raymondi;Ancash;3552;90.82;-9.1006;-77.0183
021602;Aczo;Antonio Raymondi;Ancash;2130;69.03;-9.1525;-76.9903
021603;Chaccho;Antonio Raymondi;Ancash;1670;73.99;-9.0586;-77.0594
021604;Chingas;Antonio Raymondi;Ancash;1909;48.95;-9.12;-76.9947
021605;Mirgas;Antonio Raymondi;Ancash;5370;175.69;-9.0792;-77.0933
021606;San Juan de Rontoy;Antonio Raymondi;Ancash;1648;103.13;-9.1803;-77.0044
021701;San Luis;Carlos Fermin Fitzca;Ancash;12689;256.45;-9.0933;-77.3331
021702;Yauya;Carlos Fermin Fitzca;Ancash;5591;170.41;-8.9875;-77.2894
021703;San Nicolas;Carlos Fermin Fitzca;Ancash;3690;197.39;-8.9767;-77.1842
021801;Chacas;Asuncion;Ancash;5619;447.69;-9.1622;-77.3694
021802;Acochaca;Asuncion;Ancash;3130;80.97;-9.1139;-77.3697
021901;Huarmey;Huarmey;Ancash;24856;2894.38;-10.0697;-78.1517
021902;Cochapeti;Huarmey;Ancash;747;100.02;-9.9872;-77.6467
021903;Huayan;Huarmey;Ancash;1064;58.99;-9.8761;-77.7081
021904;Malvas;Huarmey;Ancash;905;219.52;-9.9294;-77.6581
021905;Culebras;Huarmey;Ancash;3758;630.25;-9.9486;-78.2247
022001;Acas;Ocros;Ancash;1057;252.48;-10.4592;-77.3283
022002;Cajamarquilla;Ocros;Ancash;600;75.52;-10.355;-77.1997
022003;Carhuapampa;Ocros;Ancash;841;109.78;-10.4969;-77.2428
022004;Cochas;Ocros;Ancash;1486;408.66;-10.535;-77.4236
022005;Congas;Ocros;Ancash;1223;130.03;-10.3361;-77.4419
022006;Llipa;Ocros;Ancash;1814;33.69;-10.3808;-77.2067
022007;Ocros;Ocros;Ancash;1003;230.55;-10.4058;-77.3958
022008;San Cristobal de Rajan;Ocros;Ancash;639;67.75;-10.3858;-77.2192
022009;San Pedro;Ocros;Ancash;2044;531.21;-10.3706;-77.4875
022010;Santiago de Chilcas;Ocros;Ancash;383;85.76;-10.4381;-77.3669
030101;Abancay;Abancay;Apurimac;56871;313.07;-13.6367;-72.8792
030102;Circa;Abancay;Apurimac;2515;641.68;-13.8778;-72.8736
030103;Curahuasi;Abancay;Apurimac;18422;817.98;-13.5417;-72.6953
030104;Chacoche;Abancay;Apurimac;1226;186.1;-13.9417;-72.9897
030105;Huanipaca;Abancay;Apurimac;4770;432.62;-13.4917;-72.9397
030106;Lambrama;Abancay;Apurimac;5577;521.62;-13.8706;-72.7728
030107;Pichirhua;Abancay;Apurimac;4028;370.69;-13.8606;-73.0736
030108;San Pedro de Cachora;Abancay;Apurimac;3864;108.77;-13.5144;-72.8161
030109;Tamburco;Abancay;Apurimac;9894;54.6;-13.6211;-72.8725
030201;Chalhuanca;Aymaraes;Apurimac;5098;322.34;-14.295;-73.2431
030202;Capaya;Aymaraes;Apurimac;1013;77.75;-14.1181;-73.3217
030203;Caraybamba;Aymaraes;Apurimac;1497;234.91;-14.3783;-73.1608
030204;Colcabamba;Aymaraes;Apurimac;959;95.75;-14.005;-73.2519
030205;Cotaruse;Aymaraes;Apurimac;5444;1749.83;-14.4164;-73.2053
030206;Chapimarca;Aymaraes;Apurimac;2139;213.09;-13.9747;-73.0644
030207;Huayllo;Aymaraes;Apurimac;739;72.89;-14.1331;-73.2686
030208;Lucre;Aymaraes;Apurimac;2141;110.48;-13.9506;-73.2253
030209;Pocohuanca;Aymaraes;Apurimac;1154;82.55;-14.22;-73.0881
030210;Sañayca;Aymaraes;Apurimac;1455;448.91;-14.2036;-73.3461
030211;Soraya;Aymaraes;Apurimac;824;43.56;-14.1656;-73.3139
030212;Tapairihua;Aymaraes;Apurimac;2252;163.73;-14.1408;-73.1431
030213;Tintay;Aymaraes;Apurimac;3213;136.58;-13.9592;-73.1867
030214;Toraya;Aymaraes;Apurimac;2005;173.05;-14.0522;-73.2958
030215;Yanaca;Aymaraes;Apurimac;1169;103.88;-14.225;-73.1589
030216;San Juan de Chacña;Aymaraes;Apurimac;833;86.13;-13.9239;-73.1828
030217;Justo Apu Sahuaraura;Aymaraes;Apurimac;1340;97.64;-14.1489;-73.1758
030301;Andahuaylas;Andahuaylas;Apurimac;46760;174.11;-13.6561;-73.3847
030302;Andarapa;Andahuaylas;Apurimac;6335;172.05;-13.5264;-73.3681
030303;Chiara;Andahuaylas;Apurimac;1323;148.92;-13.8681;-73.6681
030304;Huancarama;Andahuaylas;Apurimac;7408;153.04;-13.6467;-73.0856
030305;Huancaray;Andahuaylas;Apurimac;4617;112.2;-13.7578;-73.5275
030306;Kishuara;Andahuaylas;Apurimac;9356;309.91;-13.6914;-73.1214
030307;Pacobamba;Andahuaylas;Apurimac;4676;245.9;-13.6167;-73.0872
030308;Pampachiri;Andahuaylas;Apurimac;2820;602.5;-14.1861;-73.5436
030309;San Antonio de Cachi;Andahuaylas;Apurimac;3183;178.78;-13.7733;-73.6036
030310;San Jeronimo;Andahuaylas;Apurimac;29017;237.42;-13.6506;-73.3656
030311;Talavera;Andahuaylas;Apurimac;18478;148.12;-13.6536;-73.4278
030312;Turpo;Andahuaylas;Apurimac;4152;121.67;-13.7856;-73.4728
030313;Pacucha;Andahuaylas;Apurimac;9833;170.39;-13.6089;-73.3442
030314;Pomacocha;Andahuaylas;Apurimac;1048;129.19;-14.085;-73.5911
030315;Santa Maria de Chicmo;Andahuaylas;Apurimac;9864;162.14;-13.6578;-73.4931
030316;Tumay Huaraca;Andahuaylas;Apurimac;2448;446.71;-14.0539;-73.5689
030317;Huayana;Andahuaylas;Apurimac;1060;96.87;-14.0503;-73.6097
030318;San Miguel de Chaccrampa;Andahuaylas;Apurimac;2080;83.37;-13.9594;-73.6086
030319;Kaquiabamba;Andahuaylas;Apurimac;3006;97.79;-13.5369;-73.2878
030401;Antabamba;Antabamba;Apurimac;3185;603.76;-14.3653;-72.8778
030402;El Oro;Antabamba;Apurimac;548;68.81;-14.2092;-73.0583
030403;Huaquirca;Antabamba;Apurimac;1568;337.6;-14.3369;-72.8936
030404;Juan Espinoza Medrano;Antabamba;Apurimac;2044;623.22;-14.4286;-72.9147
030405;Oropesa;Antabamba;Apurimac;3127;1180.12;-14.2628;-72.5639
030406;Pachaconas;Antabamba;Apurimac;1291;226.73;-14.2244;-73.0147
030407;Sabaino;Antabamba;Apurimac;1657;178.77;-14.3122;-72.9442
030501;Tambobamba;Cotabambas;Apurimac;11793;722.23;-13.945;-72.1769
030502;Coyllurqui;Cotabambas;Apurimac;8629;418.95;-13.8367;-72.4339
030503;Cotabambas;Cotabambas;Apurimac;4274;331.96;-13.7458;-72.3567
030504;Haquira;Cotabambas;Apurimac;11908;475.46;-14.2153;-72.1903
030505;Mara;Cotabambas;Apurimac;6718;224.17;-14.0864;-72.1025
030506;Challhuahuacho;Cotabambas;Apurimac;9998;439.96;-14.1192;-72.2486
030601;Chuquibambilla;Grau;Apurimac;5410;432.5;-14.1042;-72.7086
030602;Curpahuasi;Grau;Apurimac;2320;293.42;-14.0631;-72.6714
030603;Huayllati;Grau;Apurimac;1654;110.75;-13.9283;-72.4847
030604;Mamara;Grau;Apurimac;973;66.21;-14.2275;-72.5906
030605;Gamarra;Grau;Apurimac;3890;370.45;-13.8728;-72.5122
030606;Micaela Bastidas;Grau;Apurimac;1689;110.14;-14.115;-72.6136
030607;Progreso;Grau;Apurimac;3342;254.59;-14.0742;-72.4744
030608;Pataypampa;Grau;Apurimac;1127;158.91;-14.1775;-72.6706
030609;San Antonio;Grau;Apurimac;358;24.12;-14.1689;-72.6233
030610;Turpay;Grau;Apurimac;746;52.34;-14.2283;-72.6253
030611;Vilcabamba;Grau;Apurimac;1402;7.97;-14.0758;-72.625
030612;Virundo;Grau;Apurimac;1305;117.19;-14.2506;-72.6811
030613;Santa Rosa;Grau;Apurimac;700;36.16;-14.1408;-72.6586
030614;Curasco;Grau;Apurimac;1624;139.77;-14.0606;-72.5672
030701;Chincheros;Chincheros;Apurimac;6998;132.4;-13.5175;-73.7222
030702;Ongoy;Chincheros;Apurimac;3812;118.69;-13.4031;-73.6697
030703;Ocobamba;Chincheros;Apurimac;8331;58.2;-13.4828;-73.5617
030704;Cocharcas;Chincheros;Apurimac;2742;109.9;-13.61;-73.7408
030705;Anco_Huallo;Chincheros;Apurimac;12627;38.9;-13.5328;-73.6769
030706;Huaccana;Chincheros;Apurimac;9142;472.12;-13.3872;-73.69
030707;Uranmarca;Chincheros;Apurimac;3748;148.73;-13.6728;-73.6686
030708;Ranracancha;Chincheros;Apurimac;5377;44.52;-13.5322;-73.6056
040101;Arequipa;Arequipa;Arequipa;52425;2.8;-16.4008;-71.5378
040102;Cayma;Arequipa;Arequipa;96878;246.31;-16.3881;-71.5492
040103;Cerro Colorado;Arequipa;Arequipa;158836;174.9;-16.375;-71.5611
040104;Characato;Arequipa;Arequipa;10101;86.0;-16.4706;-71.4897
040105;Chiguata;Arequipa;Arequipa;3012;460.81;-16.4025;-71.3939
040106;La Joya;Arequipa;Arequipa;32048;670.22;-16.4239;-71.8206
040107;Miraflores;Arequipa;Arequipa;48242;28.68;-16.395;-71.5211
040108;Mollebaya;Arequipa;Arequipa;1979;26.7;-16.4883;-71.4686
040109;Paucarpata;Arequipa;Arequipa;126053;31.07;-16.4233;-71.5083
040110;Pocsi;Arequipa;Arequipa;537;172.48;-16.5172;-71.3925
040111;Polobaya;Arequipa;Arequipa;1497;441.61;-16.5606;-71.3747
040112;Quequeña;Arequipa;Arequipa;1410;34.93;-16.5586;-71.4544
040113;Sabandia;Arequipa;Arequipa;4234;36.63;-16.4561;-71.495
040114;Sachaca;Arequipa;Arequipa;20059;26.63;-16.4286;-71.5678
040115;San Juan de Siguas;Arequipa;Arequipa;1591;93.31;-16.3461;-72.1314
040116;San Juan de Tarucani;Arequipa;Arequipa;2193;2264.59;-16.1839;-71.0656
040117;Santa Isabel de Siguas;Arequipa;Arequipa;1273;187.98;-16.3197;-72.1028
